TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
12:15,UASIN GISHU,AT ANNEX,2016-06-12,NAKURU ELDORET,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,AFTERNOON,A104
11:30,KERICHO,DARAJA SITA,2016-06-12,LITEIN KAPLONG,THE CAR LOST CONTROL AND KNOCKED DOWN THE PERSON,CAR,MECHANICAL FAULT,MORNING,OTHER
19:20,MAKUENI,KALAAH KWARE BRIDGE,2016-06-12,NAIROBI KANGUNDO,THE CAR LOST CONTROL AND VEERED OFF THE ROAD,CAR,MECHANICAL FAULT,EVENING,OTHER
20:00,NAIROBI,ROOSTERS,2016-06-12,THIKA SUPERHIGHWAY,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,A2
21:40,KISUMU,KUSA,2016-06-12,KENDU KATITO,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,NIGHT,OTHER
23:30,NAIROBI,BEN ROSE AREA,2016-06-12,KANGUNDO,HEAD ON COLLISION,TRUCK,HEAD ON,NIGHT,OTHER
01:15,BUNGOMA,SIKATA AREA,2016-06-12,WEBUYE BUNGOMA,THE CAR LOST CONTROL AND RAMMED INTO THE TRAILER,CAR,MECHANICAL FAULT,NIGHT,OTHER
11:00,TRANS NZOIA,KEPHIS,2016-06-11,KITALE ELDORET,HEAD ON COLLISION,MATATU,HEAD ON,MORNING,OTHER
13:00,MOMBASA,BANGLA AREA,2016-06-11,NAIROBI MOMBASA,THE CAR KNOCKED DOWN A PERSON WHO WAS CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,A109
12:50,UASIN GISHU,KAPKAWA,2016-06-11,KISUMU KERICHO,THE CAR LOST CONTROL AND LANDED IN A DITCH,CAR,MECHANICAL FAULT,AFTERNOON,OTHER
12:40,EMBU,MZALENDO,2016-06-11,MATUATI LAARE,THE CAR LOST CONTROL AND KNOCKED DOWN A PERSON WHO WAS CROSSING THE ROAD,CAR,MECHANICAL FAULT,AFTERNOON,OTHER
04:00,NYERI,NDUNYO,2016-06-11,OTHAYA NYERI,"THE CAR LOST CONTROL, VEERED OFF THE ROAD AND LANDED IN A DITCH",CAR,UNKNOWN,NIGHT,OTHER
20:20,EMBU,KIVUE,2016-06-11,MERU EMBU,HEAD ON COLLISION,CAR,HEAD ON,EVENING,OTHER
